"f_21:0","f_21:1","f_21:2","Points:0","Points:1","Points:2"
-0.3853,1.6597,0,1.73,1.62,0
-0.3572,1.5667,0,1.74,1.62,0
-0.35343,1.4507,0,1.74,1.63,0
-0.3955,1.5903,0,1.73,1.63,0
-0.30641,1.3757,0,1.75,1.62,0
-0.29289,1.2304,0,1.75,1.63,0
-0.24216,1.1132,0,1.76,1.62,0
-0.22258,0.95466,0,1.76,1.63,0
-0.17264,0.80716,0,1.77,1.62,0
-0.14994,0.64891,0,1.77,1.63,0
-0.10429,0.48444,0,1.78,1.62,0
-0.080626,0.33683,0,1.78,1.63,0
-0.041635,0.16822,0,1.79,1.62,0
-0.018405,0.038391,0,1.79,1.63,0
0.034681,-0.23109,0,1.8,1.63,0
-0.33833,1.3094,0,1.74,1.64,0
-0.39275,1.4876,0,1.73,1.64,0
-0.26992,1.0676,0,1.75,1.64,0
-0.19546,0.78517,0,1.76,1.64,0
-0.12147,0.48507,0,1.77,1.64,0
-0.052724,0.18777,0,1.78,1.64,0
0.007792,-0.089889,0,1.79,1.64,0
0.058647,-0.33541,0,1.8,1.64,0
0.078008,-0.46118,0,1.81,1.63,0
0.099654,-0.54068,0,1.81,1.64,0
0.11199,-0.64609,0,1.82,1.63,0
0.13151,-0.70169,0,1.82,1.64,0
0.13768,-0.78408,0,1.83,1.63,0
0.15542,-0.81792,0,1.83,1.64,0
0.15648,-0.87659,0,1.84,1.63,0
0.17283,-0.89155,0,1.84,1.64,0
0.16984,-0.9274,0,1.85,1.63,0
0.18516,-0.9267,0,1.85,1.64,0
0.17908,-0.94183,0,1.86,1.63,0
0.1937,-0.92872,0,1.86,1.64,0
0.18533,-0.92596,0,1.87,1.63,0
0.19947,-0.90352,0,1.87,1.64,0
0.18942,-0.88611,0,1.88,1.63,0
0.20323,-0.8571,0,1.88,1.64,0
0.19193,-0.82836,0,1.89,1.63,0
0.2055,-0.79516,0,1.89,1.64,0
0.19321,-0.75827,0,1.9,1.63,0
0.20655,-0.72284,0,1.9,1.64,0
0.20648,-0.6446,0,1.91,1.64,0
0.2756,-0.24078,0,1.65,1.64,0
0.1141,0.15502,0,1.66,1.64,0
-0.030986,0.50832,0,1.66,1.65,0
0.12553,0.14571,0,1.65,1.65,0
-0.049226,0.55891,0,1.67,1.64,0
-0.17673,0.85352,0,1.67,1.65,0
-0.19567,0.93249,0,1.68,1.64,0
-0.29766,1.151,0,1.68,1.65,0
-0.3114,1.2416,0,1.69,1.64,0
-0.38451,1.3759,0,1.69,1.65,0
-0.38856,1.4605,0,1.7,1.64,0
-0.43325,1.5112,0,1.7,1.65,0
-0.42525,1.5747,0,1.71,1.64,0
-0.4447,1.5498,0,1.71,1.65,0
-0.42346,1.4939,0,1.72,1.65,0
-0.3122,1.1462,0,1.74,1.65,0
-0.37659,1.3539,0,1.73,1.65,0
-0.23825,0.89069,0,1.75,1.65,0
-0.16177,0.60835,0,1.76,1.65,0
-0.08825,0.31914,0,1.77,1.65,0
-0.021546,0.04046,0,1.78,1.65,0
0.036116,-0.21382,0,1.79,1.65,0
0.083887,-0.43378,0,1.8,1.65,0
0.12197,-0.61343,0,1.81,1.65,0
0.1513,-0.75032,0,1.82,1.65,0
0.17316,-0.84494,0,1.83,1.65,0
0.18902,-0.9001,0,1.84,1.65,0
0.20024,-0.92014,0,1.85,1.65,0
0.20801,-0.91037,0,1.86,1.65,0
0.21327,-0.87646,0,1.87,1.65,0
0.21669,-0.82407,0,1.88,1.65,0
0.21868,-0.7585,0,1.89,1.65,0
0.21945,-0.68445,0,1.9,1.65,0
0.21905,-0.606,0,1.91,1.65,0
0.20527,-0.56412,0,1.92,1.64,0
0.21743,-0.52647,0,1.92,1.65,0
0.20285,-0.48435,0,1.93,1.64,0
0.21449,-0.44847,0,1.93,1.65,0
0.19909,-0.40752,0,1.94,1.64,0
0.21011,-0.37397,0,1.94,1.65,0
0.19392,-0.33521,0,1.95,1.64,0
0.20421,-0.30435,0,1.95,1.65,0
0.19673,-0.2405,0,1.96,1.65,0
-0.16996,0.81364,0,1.66,1.66,0
-0.030959,0.50427,0,1.65,1.66,0
-0.28967,1.0881,0,1.67,1.66,0
-0.38037,1.305,0,1.68,1.66,0
-0.43664,1.4472,0,1.69,1.66,0
-0.45745,1.5051,0,1.7,1.66,0
-0.44559,1.4771,0,1.71,1.66,0
-0.40659,1.3691,0,1.72,1.66,0
-0.34755,1.193,0,1.73,1.66,0
