"f_21:0","f_21:1","f_21:2","Points:0","Points:1","Points:2"
0,0,0,0,1.42,0
0,0,0,0,1.43,0
-3.1342e-07,4.533e-07,0,0.01,1.43,0
-2.7215e-07,4.6399e-07,0,0.01,1.44,0
0,0,0,0,1.44,0
-5.5784e-07,8.426e-07,0,0.02,1.44,0
-2.2996e-07,4.7314e-07,0,0.01,1.45,0
0,0,0,0,1.45,0
-4.7134e-07,8.5913e-07,0,0.02,1.45,0
-7.2922e-07,1.1982e-06,0,0.03,1.45,0
-1.8691e-07,4.8063e-07,0,0.01,1.46,0
0,0,0,0,1.46,0
-3.8298e-07,8.7264e-07,0,0.02,1.46,0
-5.9217e-07,1.2169e-06,0,0.03,1.46,0
-1.0092e-06,1.5207e-06,0,0.04,1.45,0
-8.192e-07,1.5444e-06,0,0.04,1.46,0
-1.318e-06,1.8509e-06,0,0.05,1.45,0
-1.0695e-06,1.8798e-06,0,0.05,1.46,0
-1.6633e-06,2.2088e-06,0,0.06,1.45,0
-1.3495e-06,2.2435e-06,0,0.06,1.46,0
-2.0544e-06,2.6123e-06,0,0.07,1.45,0
-1.6663e-06,2.6538e-06,0,0.07,1.46,0
-2.028e-06,3.127e-06,0,0.08,1.46,0
-1.4318e-07,4.8635e-07,0,0.01,1.47,0
0,0,0,0,1.47,0
-2.9318e-07,8.8292e-07,0,0.02,1.47,0
-4.5305e-07,1.2311e-06,0,0.03,1.47,0
-6.2637e-07,1.5624e-06,0,0.04,1.47,0
-8.1734e-07,1.9018e-06,0,0.05,1.47,0
-1.0307e-06,2.2701e-06,0,0.06,1.47,0
-1.2719e-06,2.6855e-06,0,0.07,1.47,0
-1.5471e-06,3.1651e-06,0,0.08,1.47,0
-2.4434e-06,3.6809e-06,0,0.09,1.46,0
-1.8636e-06,3.7263e-06,0,0.09,1.47,0
-2.2291e-06,4.3871e-06,0,0.1,1.47,0
-9.8976e-08,4.9025e-07,0,0.01,1.48,0
0,0,0,0,1.48,0
-2.024e-07,8.8992e-07,0,0.02,1.48,0
-3.1238e-07,1.2408e-06,0,0.03,1.48,0
-4.314e-07,1.5747e-06,0,0.04,1.48,0
-5.6229e-07,1.9169e-06,0,0.05,1.48,0
-7.0827e-07,2.2884e-06,0,0.06,1.48,0
-8.73e-07,2.7075e-06,0,0.07,1.48,0
-1.0607e-06,3.1917e-06,0,0.08,1.48,0
-1.2762e-06,3.7583e-06,0,0.09,1.48,0
