"f_21:0","f_21:1","f_21:2","Points:0","Points:1","Points:2"
0,0,0,0.78,0,0
0,0,0,0.79,0,0
-2.6182e-09,-3.076e-09,0,0.79,0.01,0
-2.4075e-09,-2.7933e-09,0,0.78,0.01,0
0,0,0,0.8,0,0
-2.8434e-09,-3.384e-09,0,0.8,0.01,0
0,0,0,0.81,0,0
-3.0834e-09,-3.7187e-09,0,0.81,0.01,0
0,0,0,0.82,0,0
-3.3385e-09,-4.0812e-09,0,0.82,0.01,0
0,0,0,0.83,0,0
-3.6095e-09,-4.4732e-09,0,0.83,0.01,0
0,0,0,0.84,0,0
-3.8969e-09,-4.897e-09,0,0.84,0.01,0
0,0,0,0.85,0,0
-4.2012e-09,-5.3544e-09,0,0.85,0.01,0
0,0,0,0.86,0,0
-4.5227e-09,-5.8477e-09,0,0.86,0.01,0
0,0,0,0.87,0,0
-4.8619e-09,-6.3786e-09,0,0.87,0.01,0
0,0,0,0.88,0,0
-5.2192e-09,-6.9495e-09,0,0.88,0.01,0
0,0,0,0.89,0,0
-5.5949e-09,-7.5625e-09,0,0.89,0.01,0
0,0,0,0.9,0,0
-5.9889e-09,-8.2196e-09,0,0.9,0.01,0
0,0,0,0.91,0,0
-6.4012e-09,-8.923e-09,0,0.91,0.01,0
0,0,0,0.92,0,0
-6.8316e-09,-9.6746e-09,0,0.92,0.01,0
0,0,0,0.93,0,0
-7.2798e-09,-1.0476e-08,0,0.93,0.01,0
0,0,0,0.94,0,0
-7.7447e-09,-1.133e-08,0,0.94,0.01,0
0,0,0,0.95,0,0
-8.2252e-09,-1.2238e-08,0,0.95,0.01,0
0,0,0,0.96,0,0
-8.7202e-09,-1.3201e-08,0,0.96,0.01,0
0,0,0,0.97,0,0
-9.2285e-09,-1.422e-08,0,0.97,0.01,0
0,0,0,0.98,0,0
-9.7495e-09,-1.5299e-08,0,0.98,0.01,0
0,0,0,0.99,0,0
-1.0282e-08,-1.6438e-08,0,0.99,0.01,0
0,0,0,1,0,0
-1.0826e-08,-1.764e-08,0,1,0.01,0
0,0,0,1.01,0,0
-1.1379e-08,-1.8906e-08,0,1.01,0.01,0
0,0,0,1.02,0,0
-1.1941e-08,-2.0238e-08,0,1.02,0.01,0
0,0,0,1.03,0,0
-1.2511e-08,-2.1636e-08,0,1.03,0.01,0
0,0,0,1.04,0,0
-1.3086e-08,-2.3102e-08,0,1.04,0.01,0
0,0,0,1.05,0,0
-1.3664e-08,-2.4635e-08,0,1.05,0.01,0
0,0,0,1.06,0,0
-1.4241e-08,-2.6235e-08,0,1.06,0.01,0
0,0,0,1.07,0,0
-1.4814e-08,-2.7901e-08,0,1.07,0.01,0
0,0,0,1.08,0,0
-1.538e-08,-2.9631e-08,0,1.08,0.01,0
0,0,0,1.09,0,0
-1.5934e-08,-3.1425e-08,0,1.09,0.01,0
0,0,0,1.1,0,0
-1.6476e-08,-3.3282e-08,0,1.1,0.01,0
0,0,0,1.11,0,0
-1.7001e-08,-3.5203e-08,0,1.11,0.01,0
0,0,0,1.12,0,0
-1.7508e-08,-3.7185e-08,0,1.12,0.01,0
0,0,0,1.13,0,0
-1.7995e-08,-3.9227e-08,0,1.13,0.01,0
0,0,0,1.14,0,0
-1.8456e-08,-4.1326e-08,0,1.14,0.01,0
0,0,0,1.15,0,0
-1.8889e-08,-4.3478e-08,0,1.15,0.01,0
0,0,0,1.16,0,0
-1.9288e-08,-4.5678e-08,0,1.16,0.01,0
0,0,0,1.17,0,0
-1.965e-08,-4.7922e-08,0,1.17,0.01,0
0,0,0,1.18,0,0
-1.9969e-08,-5.0204e-08,0,1.18,0.01,0
0,0,0,1.19,0,0
-2.0242e-08,-5.252e-08,0,1.19,0.01,0
0,0,0,1.2,0,0
-2.0466e-08,-5.4866e-08,0,1.2,0.01,0
0,0,0,1.21,0,0
-2.0637e-08,-5.7235e-08,0,1.21,0.01,0
0,0,0,1.22,0,0
-2.0754e-08,-5.9624e-08,0,1.22,0.01,0
0,0,0,1.23,0,0
-2.0813e-08,-6.2024e-08,0,1.23,0.01,0
0,0,0,1.24,0,0
-2.0812e-08,-6.4431e-08,0,1.24,0.01,0
0,0,0,1.25,0,0
-2.0747e-08,-6.6837e-08,0,1.25,0.01,0
0,0,0,1.26,0,0
-2.0618e-08,-6.9235e-08,0,1.26,0.01,0
0,0,0,1.27,0,0
-2.0421e-08,-7.1617e-08,0,1.27,0.01,0
0,0,0,1.28,0,0
-2.0155e-08,-7.3977e-08,0,1.28,0.01,0
0,0,0,1.29,0,0
-1.9816e-08,-7.6308e-08,0,1.29,0.01,0
0,0,0,1.3,0,0
-1.9401e-08,-7.8602e-08,0,1.3,0.01,0
0,0,0,1.31,0,0
-1.8903e-08,-8.0856e-08,0,1.31,0.01,0
-4.67e-09,-6.1304e-09,0,0.79,0.02,0
-5.0725e-09,-6.7488e-09,0,0.8,0.02,0
-5.5014e-09,-7.4216e-09,0,0.81,0.02,0
-5.9575e-09,-8.1505e-09,0,0.82,0.02,0
-6.4419e-09,-8.9397e-09,0,0.83,0.02,0
-6.9557e-09,-9.7933e-09,0,0.84,0.02,0
-7.4995e-09,-1.0715e-08,0,0.85,0.02,0
-8.0742e-09,-1.171e-08,0,0.86,0.02,0
-8.6807e-09,-1.2782e-08,0,0.87,0.02,0
-9.3194e-09,-1.3935e-08,0,0.88,0.02,0
-9.9909e-09,-1.5173e-08,0,0.89,0.02,0
-1.0695e-08,-1.6501e-08,0,0.9,0.02,0
-1.1433e-08,-1.7924e-08,0,0.91,0.02,0
-1.2202e-08,-1.9446e-08,0,0.92,0.02,0
-1.3004e-08,-2.107e-08,0,0.93,0.02,0
-1.3836e-08,-2.2801e-08,0,0.94,0.02,0
-1.4696e-08,-2.4642e-08,0,0.95,0.02,0
-1.5584e-08,-2.6596e-08,0,0.96,0.02,0
-1.6495e-08,-2.8668e-08,0,0.97,0.02,0
-1.743e-08,-3.0861e-08,0,0.98,0.02,0
-1.8385e-08,-3.3178e-08,0,0.99,0.02,0
-1.936e-08,-3.5624e-08,0,1,0.02,0
-2.0351e-08,-3.8201e-08,0,1.01,0.02,0
-2.1358e-08,-4.0913e-08,0,1.02,0.02,0
-2.2377e-08,-4.3762e-08,0,1.03,0.02,0
-2.3405e-08,-4.675e-08,0,1.04,0.02,0
-2.4437e-08,-4.9877e-08,0,1.05,0.02,0
-2.5469e-08,-5.3142e-08,0,1.06,0.02,0
-2.6495e-08,-5.6543e-08,0,1.07,0.02,0
-2.751e-08,-6.008e-08,0,1.08,0.02,0
-2.8507e-08,-6.375e-08,0,1.09,0.02,0
-2.9481e-08,-6.7553e-08,0,1.1,0.02,0
-3.0428e-08,-7.1485e-08,0,1.11,0.02,0
-3.1342e-08,-7.5545e-08,0,1.12,0.02,0
-3.2215e-08,-7.9728e-08,0,1.13,0.02,0
-3.3043e-08,-8.4028e-08,0,1.14,0.02,0
-3.3816e-08,-8.8437e-08,0,1.15,0.02,0
-3.4529e-08,-9.2947e-08,0,1.16,0.02,0
-3.5174e-08,-9.7549e-08,0,1.17,0.02,0
-3.5743e-08,-1.0223e-07,0,1.18,0.02,0
-3.6232e-08,-1.0699e-07,0,1.19,0.02,0
-3.6634e-08,-1.1181e-07,0,1.2,0.02,0
-3.6944e-08,-1.1669e-07,0,1.21,0.02,0
-3.7155e-08,-1.216e-07,0,1.22,0.02,0
-3.7262e-08,-1.2654e-07,0,1.23,0.02,0
-3.726e-08,-1.3149e-07,0,1.24,0.02,0
-3.7145e-08,-1.3645e-07,0,1.25,0.02,0
-3.6911e-08,-1.4138e-07,0,1.26,0.02,0
-3.6555e-08,-1.4629e-07,0,1.27,0.02,0
-3.6073e-08,-1.5115e-07,0,1.28,0.02,0
-3.546e-08,-1.5595e-07,0,1.29,0.02,0
-3.4711e-08,-1.6068e-07,0,1.3,0.02,0
-3.3817e-08,-1.6534e-07,0,1.31,0.02,0
-7.021e-09,-1.0259e-08,0,0.8,0.03,0
-7.6158e-09,-1.1289e-08,0,0.81,0.03,0
-8.249e-09,-1.2405e-08,0,0.82,0.03,0
-8.9218e-09,-1.3614e-08,0,0.83,0.03,0
-9.635e-09,-1.4923e-08,0,0.84,0.03,0
-1.039e-08,-1.6338e-08,0,0.85,0.03,0
-1.1189e-08,-1.7865e-08,0,0.86,0.03,0
-1.2031e-08,-1.951e-08,0,0.87,0.03,0
-1.2918e-08,-2.1282e-08,0,0.88,0.03,0
-1.3851e-08,-2.3186e-08,0,0.89,0.03,0
-1.483e-08,-2.5229e-08,0,0.9,0.03,0
-1.5854e-08,-2.7419e-08,0,0.91,0.03,0
-1.6924e-08,-2.9762e-08,0,0.92,0.03,0
