"f_21:0","f_21:1","f_21:2","Points:0","Points:1","Points:2"
0,0,0,2.15,0,0
0,0,0,2.16,0,0
1.6189e-06,-1.8185e-06,0,2.16,0.01,0
0,0,0,2.17,0,0
1.5041e-06,-1.6872e-06,0,2.17,0.01,0
0,0,0,2.18,0,0
1.3964e-06,-1.5655e-06,0,2.18,0.01,0
0,0,0,2.19,0,0
1.2973e-06,-1.4526e-06,0,2.19,0.01,0
0,0,0,2.2,0,0
1.2064e-06,-1.3473e-06,0,2.2,0.01,0
0,0,0,2.21,0,0
1.1225e-06,-1.2486e-06,0,2.21,0.01,0
0,0,0,2.22,0,0
1.0447e-06,-1.1559e-06,0,2.22,0.01,0
0,0,0,2.23,0,0
9.7223e-07,-1.0692e-06,0,2.23,0.01,0
0,0,0,2.24,0,0
9.0446e-07,-9.8803e-07,0,2.24,0.01,0
0,0,0,2.25,0,0
8.4101e-07,-9.1226e-07,0,2.25,0.01,0
0,0,0,2.26,0,0
7.8157e-07,-8.4161e-07,0,2.26,0.01,0
0,0,0,2.27,0,0
7.2587e-07,-7.7582e-07,0,2.27,0.01,0
0,0,0,2.28,0,0
6.737e-07,-7.1462e-07,0,2.28,0.01,0
0,0,0,2.29,0,0
6.2484e-07,-6.5775e-07,0,2.29,0.01,0
0,0,0,2.3,0,0
5.7912e-07,-6.0496e-07,0,2.3,0.01,0
0,0,0,2.31,0,0
5.3635e-07,-5.5601e-07,0,2.31,0.01,0
0,0,0,2.32,0,0
4.9639e-07,-5.1064e-07,0,2.32,0.01,0
0,0,0,2.33,0,0
4.5906e-07,-4.6865e-07,0,2.33,0.01,0
0,0,0,2.34,0,0
4.2423e-07,-4.298e-07,0,2.34,0.01,0
0,0,0,2.35,0,0
3.9176e-07,-3.9389e-07,0,2.35,0.01,0
0,0,0,2.36,0,0
3.6151e-07,-3.6074e-07,0,2.36,0.01,0
0,0,0,2.37,0,0
3.3337e-07,-3.3016e-07,0,2.37,0.01,0
0,0,0,2.38,0,0
3.072e-07,-3.0198e-07,0,2.38,0.01,0
0,0,0,2.39,0,0
2.8289e-07,-2.7603e-07,0,2.39,0.01,0
0,0,0,2.4,0,0
2.6033e-07,-2.5216e-07,0,2.4,0.01,0
0,0,0,2.41,0,0
2.3941e-07,-2.3021e-07,0,2.41,0.01,0
0,0,0,2.42,0,0
2.2003e-07,-2.1005e-07,0,2.42,0.01,0
0,0,0,2.43,0,0
2.0208e-07,-1.9155e-07,0,2.43,0.01,0
0,0,0,2.44,0,0
1.8548e-07,-1.7458e-07,0,2.44,0.01,0
0,0,0,2.45,0,0
1.7013e-07,-1.5903e-07,0,2.45,0.01,0
0,0,0,2.46,0,0
1.5596e-07,-1.4477e-07,0,2.46,0.01,0
0,0,0,2.47,0,0
1.4286e-07,-1.317e-07,0,2.47,0.01,0
0,0,0,2.48,0,0
1.3076e-07,-1.1973e-07,0,2.48,0.01,0
0,0,0,2.49,0,0
1.1958e-07,-1.0877e-07,0,2.49,0.01,0
0,0,0,2.5,0,0
1.0926e-07,-9.8726e-08,0,2.5,0.01,0
0,0,0,2.51,0,0
9.9748e-08,-8.9538e-08,0,2.51,0.01,0
0,0,0,2.52,0,0
9.0985e-08,-8.1134e-08,0,2.52,0.01,0
0,0,0,2.53,0,0
8.2926e-08,-7.3455e-08,0,2.53,0.01,0
0,0,0,2.54,0,0
7.5523e-08,-6.6447e-08,0,2.54,0.01,0
0,0,0,2.55,0,0
6.8734e-08,-6.0058e-08,0,2.55,0.01,0
0,0,0,2.56,0,0
6.2514e-08,-5.4243e-08,0,2.56,0.01,0
0,0,0,2.57,0,0
5.6822e-08,-4.8958e-08,0,2.57,0.01,0
0,0,0,2.58,0,0
5.1622e-08,-4.4161e-08,0,2.58,0.01,0
0,0,0,2.59,0,0
4.6874e-08,-3.9814e-08,0,2.59,0.01,0
0,0,0,2.6,0,0
4.2545e-08,-3.5879e-08,0,2.6,0.01,0
0,0,0,2.61,0,0
3.8602e-08,-3.2321e-08,0,2.61,0.01,0
0,0,0,2.62,0,0
3.501e-08,-2.9106e-08,0,2.62,0.01,0
0,0,0,2.63,0,0
3.174e-08,-2.6201e-08,0,2.63,0.01,0
0,0,0,2.64,0,0
2.8761e-08,-2.3577e-08,0,2.64,0.01,0
0,0,0,2.65,0,0
2.6048e-08,-2.1206e-08,0,2.65,0.01,0
0,0,0,2.66,0,0
2.3575e-08,-1.9063e-08,0,2.66,0.01,0
0,0,0,2.67,0,0
2.1321e-08,-1.7125e-08,0,2.67,0.01,0
0,0,0,2.68,0,0
1.9267e-08,-1.5373e-08,0,2.68,0.01,0
0,0,0,2.69,0,0
1.7394e-08,-1.379e-08,0,2.69,0.01,0
0,0,0,2.7,0,0
1.5688e-08,-1.2359e-08,0,2.7,0.01,0
0,0,0,2.71,0,0
1.4134e-08,-1.1066e-08,0,2.71,0.01,0
0,0,0,2.72,0,0
1.2721e-08,-9.8987e-09,0,2.72,0.01,0
0,0,0,2.73,0,0
1.1436e-08,-8.8462e-09,0,2.73,0.01,0
0,0,0,2.74,0,0
1.0269e-08,-7.8982e-09,0,2.74,0.01,0
0,0,0,2.75,0,0
9.2116e-09,-7.0453e-09,0,2.75,0.01,0
0,0,0,2.76,0,0
8.2543e-09,-6.279e-09,0,2.76,0.01,0
0,0,0,2.77,0,0
7.3888e-09,-5.5912e-09,0,2.77,0.01,0
0,0,0,2.78,0,0
6.6072e-09,-4.9748e-09,0,2.78,0.01,0
0,0,0,2.79,0,0
5.9023e-09,-4.4229e-09,0,2.79,0.01,0
0,0,0,2.8,0,0
5.267e-09,-3.9294e-09,0,2.8,0.01,0
0,0,0,2.81,0,0
4.6952e-09,-3.4885e-09,0,2.81,0.01,0
0,0,0,2.82,0,0
4.181e-09,-3.0952e-09,0,2.82,0.01,0
0,0,0,2.83,0,0
3.7189e-09,-2.7447e-09,0,2.83,0.01,0
0,0,0,2.84,0,0
3.3041e-09,-2.4327e-09,0,2.84,0.01,0
0,0,0,2.85,0,0
2.932e-09,-2.1555e-09,0,2.85,0.01,0
0,0,0,2.86,0,0
2.5985e-09,-1.9094e-09,0,2.86,0.01,0
0,0,0,2.87,0,0
2.2997e-09,-1.6912e-09,0,2.87,0.01,0
0,0,0,2.88,0,0
2.032e-09,-1.498e-09,0,2.88,0.01,0
0,0,0,2.89,0,0
1.7924e-09,-1.3272e-09,0,2.89,0.01,0
0,0,0,2.9,0,0
1.5778e-09,-1.1761e-09,0,2.9,0.01,0
0,0,0,2.91,0,0
1.3856e-09,-1.0426e-09,0,2.91,0.01,0
0,0,0,2.92,0,0
1.2133e-09,-9.2437e-10,0,2.92,0.01,0
0,0,0,2.93,0,0
1.0585e-09,-8.1941e-10,0,2.93,0.01,0
0,0,0,2.94,0,0
9.1876e-10,-7.2548e-10,0,2.94,0.01,0
0,0,0,2.95,0,0
7.9113e-10,-6.4006e-10,0,2.95,0.01,0
0,0,0,2.96,0,0
6.7181e-10,-5.5994e-10,0,2.96,0.01,0
0,0,0,2.97,0,0
5.5473e-10,-4.8015e-10,0,2.97,0.01,0
0,0,0,2.98,0,0
4.283e-10,-3.9099e-10,0,2.98,0.01,0
0,0,0,2.99,0,0
2.6575e-10,-2.6627e-10,0,2.99,0.01,0
0,0,0,3,0,0
0,0,0,3,0.01,0
2.7245e-06,-3.3386e-06,0,2.17,0.02,0
2.9321e-06,-3.6062e-06,0,2.16,0.02,0
2.5299e-06,-3.0978e-06,0,2.18,0.02,0
2.3512e-06,-2.8758e-06,0,2.19,0.02,0
2.1864e-06,-2.6677e-06,0,2.2,0.02,0
2.034e-06,-2.4723e-06,0,2.21,0.02,0
1.8923e-06,-2.2886e-06,0,2.22,0.02,0
1.7603e-06,-2.1164e-06,0,2.23,0.02,0
1.6369e-06,-1.9553e-06,0,2.24,0.02,0
1.5215e-06,-1.8048e-06,0,2.25,0.02,0
1.4135e-06,-1.6645e-06,0,2.26,0.02,0
1.3124e-06,-1.5338e-06,0,2.27,0.02,0
1.2177e-06,-1.4123e-06,0,2.28,0.02,0
1.1291e-06,-1.2994e-06,0,2.29,0.02,0
1.0463e-06,-1.1946e-06,0,2.3,0.02,0
9.6884e-07,-1.0975e-06,0,2.31,0.02,0
8.9651e-07,-1.0075e-06,0,2.32,0.02,0
8.2899e-07,-9.2429e-07,0,2.33,0.02,0
7.6602e-07,-8.4731e-07,0,2.34,0.02,0
7.0734e-07,-7.7621e-07,0,2.35,0.02,0
6.5269e-07,-7.1059e-07,0,2.36,0.02,0
6.0185e-07,-6.5008e-07,0,2.37,0.02,0
5.5459e-07,-5.9434e-07,0,2.38,0.02,0
5.1069e-07,-5.4303e-07,0,2.39,0.02,0
4.6995e-07,-4.9584e-07,0,2.4,0.02,0
4.3217e-07,-4.5248e-07,0,2.41,0.02,0
3.9716e-07,-4.1266e-07,0,2.42,0.02,0
3.6474e-07,-3.7613e-07,0,2.43,0.02,0
3.3474e-07,-3.4264e-07,0,2.44,0.02,0
3.07e-07,-3.1195e-07,0,2.45,0.02,0
2.8136e-07,-2.8382e-07,0,2.46,0.02,0
2.5765e-07,-2.5806e-07,0,2.47,0.02,0
2.3576e-07,-2.3447e-07,0,2.48,0.02,0
2.1555e-07,-2.1288e-07,0,2.49,0.02,0
1.969e-07,-1.9313e-07,0,2.5,0.02,0
1.7973e-07,-1.7507e-07,0,2.51,0.02,0
1.6392e-07,-1.5857e-07,0,2.52,0.02,0
1.494e-07,-1.4351e-07,0,2.53,0.02,0
1.3606e-07,-1.2976e-07,0,2.54,0.02,0
1.2384e-07,-1.1724e-07,0,2.55,0.02,0
1.1265e-07,-1.0585e-07,0,2.56,0.02,0
1.0241e-07,-9.5499e-08,0,2.57,0.02,0
9.3063e-08,-8.6107e-08,0,2.58,0.02,0
8.4526e-08,-7.7597e-08,0,2.59,0.02,0
7.6738e-08,-6.9895e-08,0,2.6,0.02,0
6.9638e-08,-6.2931e-08,0,2.61,0.02,0
6.3167e-08,-5.6638e-08,0,2.62,0.02,0
5.7269e-08,-5.0955e-08,0,2.63,0.02,0
5.1893e-08,-4.5821e-08,0,2.64,0.02,0
4.6992e-08,-4.1185e-08,0,2.65,0.02,0
4.2524e-08,-3.6997e-08,0,2.66,0.02,0
3.8449e-08,-3.3212e-08,0,2.67,0.02,0
3.4734e-08,-2.9794e-08,0,2.68,0.02,0
3.1348e-08,-2.6705e-08,0,2.69,0.02,0
