"f_21:0","f_21:1","f_21:2","Points:0","Points:1","Points:2"
0,0,0,0,1.4,0
0,0,0,0,1.41,0
-1.2175e-05,1.9574e-05,0,0.01,1.41,0
-1.0906e-05,2.0046e-05,0,0.01,1.42,0
0,0,0,0,1.42,0
-2.2266e-05,3.7085e-05,0,0.02,1.42,0
-9.6094e-06,2.0468e-05,0,0.01,1.43,0
0,0,0,0,1.43,0
-1.962e-05,3.7868e-05,0,0.02,1.43,0
-3.012e-05,5.321e-05,0,0.03,1.43,0
-8.2876e-06,2.0839e-05,0,0.01,1.44,0
0,0,0,0,1.44,0
-1.6923e-05,3.8555e-05,0,0.02,1.44,0
-2.5981e-05,5.4177e-05,0,0.03,1.44,0
-3.5554e-05,6.8545e-05,0,0.04,1.44,0
-6.9439e-06,2.1156e-05,0,0.01,1.45,0
0,0,0,0,1.45,0
-1.418e-05,3.9143e-05,0,0.02,1.45,0
-2.1771e-05,5.5004e-05,0,0.03,1.45,0
-2.9795e-05,6.9594e-05,0,0.04,1.45,0
-3.8341e-05,8.3618e-05,0,0.05,1.45,0
-5.582e-06,2.1418e-05,0,0.01,1.46,0
0,0,0,0,1.46,0
-1.14e-05,3.9628e-05,0,0.02,1.46,0
-1.7503e-05,5.5688e-05,0,0.03,1.46,0
-2.3955e-05,7.0461e-05,0,0.04,1.46,0
-3.0828e-05,8.4663e-05,0,0.05,1.46,0
-3.8203e-05,9.8894e-05,0,0.06,1.46,0
-4.2052e-06,2.1623e-05,0,0.01,1.47,0
0,0,0,0,1.47,0
-8.5883e-06,4.0009e-05,0,0.02,1.47,0
-1.3188e-05,5.6225e-05,0,0.03,1.47,0
-1.8049e-05,7.1142e-05,0,0.04,1.47,0
-2.3228e-05,8.5483e-05,0,0.05,1.47,0
-2.8786e-05,9.9854e-05,0,0.06,1.47,0
-3.4792e-05,0.00011478,0,0.07,1.47,0
-2.8168e-06,2.1772e-05,0,0.01,1.48,0
0,0,0,0,1.48,0
-5.7534e-06,4.0284e-05,0,0.02,1.48,0
-8.8349e-06,5.6612e-05,0,0.03,1.48,0
-1.2092e-05,7.1632e-05,0,0.04,1.48,0
-1.5562e-05,8.6074e-05,0,0.05,1.48,0
-1.9287e-05,0.00010055,0,0.06,1.48,0
-2.3311e-05,0.00011558,0,0.07,1.48,0
-1.4207e-06,2.1862e-05,0,0.01,1.49,0
0,0,0,0,1.49,0
-2.9021e-06,4.0452e-05,0,0.02,1.49,0
-4.4568e-06,5.6847e-05,0,0.03,1.49,0
-6.1003e-06,7.193e-05,0,0.04,1.49,0
-7.8512e-06,8.6433e-05,0,0.05,1.49,0
-9.7307e-06,0.00010097,0,0.06,1.49,0
-1.1763e-05,0.00011607,0,0.07,1.49,0
-1.3974e-05,0.00013219,0,0.08,1.49,0
-2.0436e-08,2.1894e-05,0,0.01,1.5,0
0,0,0,0,1.5,0
-4.2064e-08,4.051e-05,0,0.02,1.5,0
-6.4806e-08,5.6928e-05,0,0.03,1.5,0
